,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__max_features,param_decisiontreeclassifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.24392800331115722,0.012735916770411847,0.05174250602722168,0.004098757130974042,125,auto,30,"{'decisiontreeclassifier__max_depth': 125, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 30}",0.11428571428571428,0.26296296296296295,0.27424242424242423,0.3361111111111111,0.16111111111111112,0.22974266474266475,0.0805464595806899,22
15,0.2339914321899414,0.004820321521962394,0.04905548095703125,0.0007161735780948211,150,auto,10,"{'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.4740740740740741,0.24669312169312171,0.4361111111111111,0.3068783068783069,0.2333333333333333,0.3394179894179895,0.09837937508303739,3
16,0.23894200325012208,0.003690717406974552,0.05307855606079102,0.004211707248840241,150,auto,15,"{'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 15}",0.1402116402116402,0.24074074074074078,0.45502645502645506,0.3351851851851852,0.3638888888888889,0.30701058201058207,0.10784361600875314,8
17,0.2321394920349121,0.004874044786436604,0.050692081451416016,0.0042204614951488004,150,auto,20,"{'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.42751322751322746,0.2222222222222222,0.1865079365079365,0.26944444444444443,0.16239316239316237,0.25361619861619855,0.09412911660052867,20
18,0.23275022506713866,0.003181945841348491,0.050089120864868164,0.0031130654581564225,150,auto,25,"{'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 25}",0.31216931216931215,0.3242424242424242,0.31363636363636366,0.20873015873015874,0.3222222222222222,0.2962000962000962,0.04398534402848343,14
19,0.23326196670532226,0.005959788262346621,0.04913039207458496,0.0011714056047853662,150,auto,30,"{'decisiontreeclassifier__max_depth': 150, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 30}",0.12424242424242422,0.3119047619047619,0.3206349206349206,0.3518518518518518,0.2972582972582973,0.2811784511784512,0.08047748345466457,17
20,0.23273229598999023,0.0037115985190119207,0.04929995536804199,0.0011629832966660136,175,auto,10,"{'decisiontreeclassifier__max_depth': 175, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.3351851851851852,0.29074074074074074,0.3133597883597884,0.2833333333333334,0.2037037037037037,0.2852645502645503,0.04464818506321692,15
21,0.23623204231262207,0.0054954847468681334,0.04971776008605957,0.002421540312791518,175,auto,15,"{'decisiontreeclassifier__max_depth': 175, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 15}",0.4507936507936508,0.27499999999999997,0.28055555555555556,0.26666666666666666,0.15277777777777776,0.2851587301587301,0.09531630386674061,16
22,0.23350820541381836,0.004901301078187611,0.04948558807373047,0.001534647472506828,175,auto,20,"{'decisiontreeclassifier__max_depth': 175, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.06666666666666667,0.4369047619047619,0.3154761904761905,0.5324074074074074,0.29523809523809524,0.3293386243386244,0.1569451975134498,4
23,0.23029661178588867,0.005124224672691672,0.04853763580322266,0.0014779998481024921,175,auto,25,"{'decisiontreeclassifier__max_depth': 175, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 25}",0.08333333333333333,0.23611111111111113,0.15782828282828282,0.3119047619047619,0.08119658119658119,0.17407481407481407,0.08940909228491935,24
24,0.21372528076171876,0.03549313014187578,0.043145942687988284,0.00814041528620754,175,auto,30,"{'decisiontreeclassifier__max_depth': 175, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 30}",0.21818181818181817,0.2333333333333333,0.14021164021164023,0.19358974358974357,0.3898148148148148,0.23502627002627002,0.08360968238230776,21
